corpID,locale,corpName,zip,address,city,enrollment,teacher_count,locale_size
9545,City,21st Century Charter Sch of Gary,46202,1630 N Meridian St 350,Indianapolis,883,23,Small
9970,City,ACE Preparatory Academy,46203,5326 Hillside Ave,Indianapolis,89,6,Large
0015,Rural,Adams Central Community Schools,46204,222 W Washington St,Monroe,1294,86,Distant
5265,Suburb,Alexandria Community School Corp,46205,202 E Washington St,Alexandria,1540,80,Small
9065,,Allegiant Preparatory Academy,46206,8928 Ashford Castle Drive#1425,Indianapolis ,37,3,
5275,City,Anderson Community School Corp,46207,1600 Hillcrest Ave,Anderson,6874,433,Small
9790,City,Anderson Preparatory Academy,46208,101 W 29th St,Anderson,755,50,Small
9615,City,Andrew J Brown Academy,46209,3600 N German Church Rd,Indianapolis,678,35,Large
5470,Rural,Argos Community Schools,46210,500 Yearick Ave,Argos,662,40,Distant
9685,City,Aspire Charter Academy,46211,4900 W 15th Ave,Gary,694,36,Small
2435,Town,Attica Consolidated School Corp,46212,205 E Sycamore St,Attica,671,41,Distant
3315,Suburb,Avon Community School Corp,46213,7203 E US Hwy 36,Avon,9766,501,Large
9645,City,Avondale Meadows Academy,46214,3980 Meadows Dr,Indianapolis,437,26,Large
9040,,Avondale Meadows Middle School,46215,3980 Meadows Dr ,"Indianapolis, ",185,11,
1315,Rural,Barr-Reeve Community Schools Inc,46216,Box 97,Montgomery,935,51,Distant
0365,City,Bartholomew Con School Corp,46217,1200 Central Ave,Columbus,11530,580,Small
6895,Rural,Batesville Community School Corp,46218,PO Box 121,Batesville,2181,133,Fringe
2260,Suburb,Baugo Community Schools,46219,29125 CR 22 W,Elkhart,1859,108,Midsize
5380,Suburb,Beech Grove City Schools,46220,5334 Hornet Ave,Beech Grove,3016,154,Large
0395,Rural,Benton Community School Corp,46221,PO Box 512,Fowler,1757,119,Distant
0515,Town,Blackford County Schools,46222,0668 W 200 S,Hartford City,1586,87,Distant
2920,Town,Bloomfield School District,46223,PO Box 266 500 W South St,Bloomfield,835,56,Distant
3405,Rural,Blue River Valley Schools,46224,PO Box 217,Mount Summit,696,43,Fringe
5480,Town,Bremen Public Schools,46225,512 W Grant St,Bremen,1489,87,Distant
0670,Rural,Brown County School Corporation,46226,PO Box 38,Nashville,1904,122,Distant
3305,Suburb,Brownsburg Community School Corp,46227,310 Stadium Dr,Brownsburg,9296,493,Large
3695,Town,Brownstown Cnt Com Sch Corp,46228,608 W Commerce St,Brownstown,1593,90,Distant
9620,City,Burris Laboratory School,46229,Dean's Office-Teachers Clg BSU,Muncie,669,44,Small
3455,Rural,C A Beard Memorial School Corp,46230,8139 W US 40,Knightstown,1069,65,Fringe
9725,Rural,Canaan Community Academy,46231,8775 N Canaan Main Street,CANAAN,125,6,Distant
6340,Town,Cannelton City Schools,46232,109 S Third St,Cannelton,279,19,Distant
9880,City,Career Academy High School,46233,3801 Crescent Cir,South Bend,305,26,Midsize
9965,City,Career Academy Middle School,46234,"3801 Crescent Circle, Suite B",South Bend,340,25,Midsize
3060,City,Carmel Clay Schools,46235,5201 E Main St,Carmel,16352,830,Small
0750,Rural,Carroll Consolidated School Corp,46236,2 S 3rd St,Flora,1071,69,Distant
2650,Rural,Caston School Corporation,46237,Box 8,Fulton,684,38,Distant
4205,Suburb,Center Grove Community School Corp,46238,4800 W Stones Crossing Rd,Greenwood,8511,418,Large
8360,Town,Centerville-Abington Com Schs,46239,115 W South St,Centerville,1776,87,Distant
6055,Rural,Central Noble Com School Corp,46240,200 E Main St,Albion,1247,71,Distant
9445,City,Charles A Tindley Accelerated Sch,46241,3960 Meadows Dr,Indianapolis,232,22,Large
9310,City,Charter School of the Dunes,46242,7300 E Melton Road,Gary,604,28,Small
9380,City,Christel House Academy South,46243,2717 S East St,Indianapolis,662,40,Large
9395,City,Christel House Academy West,46244,2717 S East St,Indianapolis,377,18,Large
9385,City,Christel House DORS,46245,2717 S East St,Indianapolis,647,15,Large
9150,,Circle City Prep Charter School,46246,4002 N Franklin Road,Indianapolis,129,5,
4145,Suburb,Clark-Pleasant Community Sch Corp,46247,50 Center St,Whiteland,6866,323,Large
1000,Suburb,Clarksville Community School Corp,46248,200 Ettel Ln,Clarksville,1345,83,Large
1125,Rural,Clay Community Schools,46249,1013 S Forest Ave,Brazil,4183,254,Fringe
1150,Rural,Clinton Central School Corporation,46250,Box 118,Michigantown,867,53,Distant
1160,Rural,Clinton Prairie School Corporation,46251,2390 S CR 450 W,Frankfort,1301,71,Fringe
6750,Rural,Cloverdale Community Schools,46252,310 E Logan,Cloverdale,1147,66,Distant
9320,Suburb,Community Montessori Inc,46253,4102 St Joseph Rd,New Albany,549,36,Large
1170,Rural,Community Schools of Frankfort,46254,2400 E Wabash Ave,Frankfort,3203,199,Fringe
2270,Suburb,Concord Community Schools,46255,59040 Minuteman Way,Elkhart,5379,310,Midsize
2440,Town,Covington Community School Corp,46256,601 Market St,Covington,895,60,Fringe
1900,Rural,Cowan Community School Corp,46257,9401 S Nottingham,Muncie,811,50,Fringe
1300,Rural,Crawford County Community Sch Corp,46258,5805 E Administration Rd,Marengo,1511,87,Distant
5855,Town,Crawfordsville Community Schools,46259,1000 Fairview Ave,Crawfordsville,2597,162,Distant
3710,Rural,Crothersville Community Schools,46260,201 S Preston St,Crothersville,433,24,Distant
4660,Suburb,Crown Point Community School Corp,46261,200 E North St,Crown Point,8705,413,Large
8825,City,CSUSA Donnan,46262,800 Corporate Dr,Ft Lauderdale,293,29,Large
8810,City,CSUSA Howe,46263,800 corporte Dr Suite 400,Fort Lauderdale,577,35,Large
8815,City,CSUSA Manual,46264,800 Corporate Dr  Suite 124,Ft Lauderdale ,695,46,Large
5455,Rural,Culver Community Schools Corp,46265,700 School Street,Culver,815,53,Distant
1940,Suburb,Daleville Community Schools,46266,14300 W 2nd St,Daleville,961,50,Small
9920,City,Damar Charter Academy,46267,"5125 Decatur Blvd, Suite D",Indianapolis,194,13,Large
3325,Suburb,Danville Community School Corp,46268,200 Warrior Way,Danville,2521,129,Large
1655,Rural,Decatur County Community Schools,46269,2020 N Montgomery Rd,Greensburg,1952,132,Fringe
1835,Town,DeKalb Co Ctl United Sch Dist,46270,3326 CR 427,Waterloo,3676,186,Fringe
1805,Rural,DeKalb Co Eastern Com Sch Dist,46271,300 E Washington St,Butler,1346,106,Fringe
1875,Rural,Delaware Community School Corp,46272,9750 N CR 200 E,Muncie,2647,146,Fringe
0755,Rural,Delphi Community School Corp,46273,501 Armory Rd,Delphi,1392,82,Fringe
9870,Suburb,Discovery Charter School,46274,800 Canonie Dr,Porter,535,29,Large
9795,Town,Dr Robert H Faulkner Academy,46275,1111 W 2nd St,Marion,93,5,Distant
9950,Rural,Dugger Union Community School Corp,46276,7356 E County Road 50 South,Dugger,407,27,Distant
6470,Suburb,Duneland School Corporation,46277,601 W Morgan Ave,Chesterton,5874,324,Large
0255,Suburb,East Allen County Schools,46278,1240 SR 930 E,New Haven,9946,521,Large
9595,Suburb,East Chicago Lighthouse Charter,46279,3916 Pulaski St,East Chicago,501,24,Large
9555,Suburb,East Chicago Urban Enterprise Acad,46280,1402 E Chicago Ave,East Chicago,415,14,Large
2725,Rural,East Gibson School Corporation,46281,941 S Franklin St,Oakland City,850,66,Fringe
6060,Town,East Noble School Corporation,46282,126 W Rush St,Kendallville,3621,211,Distant
6510,Rural,East Porter County School Corp,46283,502 E College Ave - PO Box 370,Kouts,2488,166,Fringe
8215,Rural,East Washington School Corp,46284,1050 N Eastern School Rd,Pekin,1409,82,Distant
2815,Rural,Eastbrook Community Sch Corp,46285,CR 560 S 900 E,Marion,1635,93,Distant
2940,Rural,Eastern Greene Schools,46286,1471 N SR 43,Bloomfield,1221,74,Distant
3145,Rural,Eastern Hancock Co Com Sch Corp,46287,10370 E 250 N,Charlottesville,1211,68,Distant
3480,Town,Eastern Howard School Corporation,46288,221 W Main Suite One,Greentown,1530,85,Fringe
6620,Town,Eastern Pulaski Community Sch Corp,46289,711 School Dr,Winamac,1229,78,Distant
4215,Suburb,Edinburgh Community School Corp,46290,202 S Keeley St,Edinburgh,862,56,Small
8820,City,Edison Learning Roosevelt,46291,730 W 25th Ave,Gary,496,,Small
2305,City,Elkhart Community Schools,46292,2720 California Rd,Elkhart,12573,747,Small
5280,Town,Elwood Community School Corp,46293,1306 N Anderson St,Elwood,1568,94,Fringe
5910,Rural,Eminence Community School Corp,46294,PO Box 135,Eminence,369,25,Distant
9365,City,Enlace Academy,46295,3725 Kiel Ave,Indianapolis,491,21,Large
7995,City,Evansville Vanderburgh School Corp,46296,951 Walnut St,Evansville,22601,1406,Midsize
9750,City,Excel Center - Anderson,46297,630 Nichol Ave,Anderson,313,14,Small
9050,,Excel Center - Clarksville,46298,1329 Applegate Lane,Clarksville,308,12,
9190,,Excel Center - Gary ,46299,3710 Clark Road ,Gary ,29,6,
9055,,Excel Center - Hammond,46300,3438 169th Street,Hammond,257,13,
9355,City,Excel Center - Kokomo,46301,101 W Superior St,Kokomo,373,14,Small
9345,City,Excel Center - Lafayette,46302,615 N 18th St 2nd Floor,Lafayette,333,15,Small
9335,City,Excel Center - Lafayette Square,46303,6000 W 34th Street,Indianapolis,324,13,Large
9160,,Excel Center - Muncie,46304,1023 W Jackson St,Muncie,293,11,
9855,Suburb,Excel Center - Noblesville,46305,1635 W Michigan St,Indianapolis,191,9,Large
9305,Town,Excel Center - Richmond,46306,1215 S 'J' St,Richmond,283,10,Distant
9995,Town,Excel Center - Shelbyville,46307,111 North Harrison Street,Shelbyville,159,10,Distant
9900,City,Excel Center - South Bend,46308,PO Box 3846,South Bend,281,12,Midsize
9840,City,Excel Center - University Heights,46309,3919 Madison Ave,Indianapolis,401,14,Large
9910,City,Excel Center for Adult Learners,46310,1635 W Michigan St,Indianapolis,1192,47,Large
2155,Rural,Fairfield Community Schools,46311,67240 CR 31,Goshen,2194,137,Fringe
2395,Town,Fayette County School Corporation,46312,1401 Spartan Drive,Connersville,3498,210,Distant
0370,Rural,Flat Rock-Hawcreek School Corp,46313,9423 N SR 9,Hope,903,56,Distant
0235,City,Fort Wayne Community Schools,46314,1200 S Clinton St,Fort Wayne,29404,1705,Large
4225,Suburb,Franklin Community School Corp,46315,998 Grizzly Cub Dr,Franklin,5046,245,Large
2475,Rural,Franklin County Community Sch Corp,46316,225 E 10th St,Brookville,2267,127,Distant
5310,City,Franklin Township Com Sch Corp,46317,6141 S Franklin Rd,Indianapolis,9654,463,Large
5245,Rural,Frankton-Lapel Community Schools,46318,7916 W 300 N,Anderson,3182,163,Fringe
7605,Rural,Fremont Community Schools,46319,PO Box 665,Fremont,968,59,Distant
8525,Rural,Frontier School Corporation,46320,PO Box 809,Chalmers,668,49,Distant
1820,Town,Garrett-Keyser-Butler Com Sch Corp,46321,801 E Houston St,Garrett,1747,104,Fringe
4690,City,Gary Community School Corp,46322,1988 Polk Street,Gary,5010,255,Small
9535,City,Gary Lighthouse Charter School,46323,725 Clark Road,Gary,1439,68,Small
9885,City,Gary Middle College,46324,1630 N Meridian St 350,Indianapolis,242,4,Small
9070,,Gary Middle College West,46325,1630 N Meridian St 350,Indianapolis,130,3,
9665,Suburb,Geist Montessori Academy,46326,"13942 E 96th St, Suite 120",McCordsville,382,19,Large
9975,City,Global Preparatory Academy,46327,2033 Sugar Grove Ave,Indianapolis,484,25,Large
2315,City,Goshen Community Schools,46328,613 E Purl St,Goshen,6606,375,Small
1010,Suburb,Greater Clark County Schools,46329,2112 Utica-Sellersburg Rd,Jeffersonville,10360,488,Large
2120,Town,Greater Jasper Consolidated Schs,46330,1520 St Charles St Suite 1,Jasper,3155,160,Distant
6755,Town,Greencastle Community School Corp,46331,1002 Mill Pond Lane,Greencastle,1888,114,Distant
3125,Suburb,Greenfield-Central Com Schools,46332,110 W North St,Greenfield,4476,246,Large
1730,Town,Greensburg Community Schools,46333,1312 W Westridge Pky,Greensburg,2152,114,Distant
4245,Suburb,Greenwood Community Sch Corp,46334,605 W Smith Valley Rd,Greenwood,4041,223,Large
4700,Suburb,Griffith Public Schools,46335,601 N Raymond,Griffith,2449,128,Large
7610,Rural,Hamilton Community Schools,46336,903 S Wayne St,Hamilton,291,24,Distant
3025,Suburb,Hamilton Heights School Corp,46337,PO Box 469,Arcadia,2334,120,Large
3005,Suburb,Hamilton Southeastern Schools,46338,13485 Cumberland Rd,Fishers,21599,1107,Large
9705,Suburb,Hammond Academy of Science & Tech,46339,33 Muenich Ct,Hammond,553,36,Large
4580,Suburb,Hanover Community School Corp,46340,PO Box 645,Cedar Lake,2387,138,Large
9650,City,Herron Charter,46341,110 E 16th St,Indianapolis,889,68,Large
9990,Suburb,Higher Institute of Arts & Tech,46342,5861 Harrison Street,Merrillville,166,9,Large
9805,Suburb,Hoosier Academy - Indianapolis,46343,2855 North Franklin Rd,Indianapolis,182,24,Large
9655,City,Hope Academy,46344,8102 Clearvista Pky,Indianapolis,25,6,Large
3625,Town,Huntington Co Com Sch Corp,46345,1063 E 900 S,Warren,5126,320,Distant
9010,,Ignite Achievement Academy ,46346,1002 W 25 Street,Indianapolis,534,26,
9785,City,IN Math & Science Academy,46347,4575 W 38th St,Indianapolis,563,34,Large
9895,City,IN Math & Science Academy - North,46348,7435 N Keystone Ave,Indianapolis,682,40,Large
9605,City,IN Sch for the Blind & Vis Imprd,46349,7725 N College Ave,Indianapolis,125,1,Large
9625,City,Indiana Academy for Sci Math Hmn ,46350,BSU - 301 N Talley Avenue,Muncie,307,32,Small
9505,,Indiana Agriculture and Technology,46351,"650 E Carmel Drive, Suite 330",Carmel ,130,2,
9905,City,Indiana Connections Academy,46352,"6640 INTECH Blvd, Suite 250",Indianapolis,4852,112,Large
9035,,Indiana Connections Career Academy,46353,"6640 Intech Boulevard, Suite 2",Indianapolis,385,10,
9100,Rural,Indiana Department of Correction,46354,302 W Washington St Rm E334,Indianapolis,382,36,Fringe
9610,City,Indiana School For The Deaf,46355,1200 E 42nd St,Indianapolis,326,,Large
9155,,Indiana Virtual Pathways Academy,46356,500 East 96th St Suite 400,Indianapolis,6266,33,
9890,City,Indiana Virtual School,46357,500 East 96th St Suite 400,Indianapolis,984,34,Small
9780,City,Indianapolis Academy of Excellence,46358,1145 E 22nd St,Indianapolis,148,8,Large
9770,City,Indianapolis Lighthouse East,46359,4002 N Franklin Rd,Indianapolis,363,31,Large
9670,City,Indianapolis Metropolitan High Sch,46360,1635 W Michigan St,Indianapolis,240,21,Large
5385,City,Indianapolis Public Schools,46361,120 E Walnut St,Indianapolis,26410,1756,Large
9575,City,Indpls Lighthouse Charter School,46362,1780 Sloan Ave,Indianapolis,888,61,Large
9120,City,Insight School of Indiana,46363,2855 North Franklin Road,Indianapolis,793,27,Large
9735,City,Inspire Academy - A Sch of Inquiry,46364,2801 E 16th St,Muncie,178,9,Small
9330,City,Irvington Community School,46365,5751 E University Ave,Indianapolis,986,56,Large
9045,,J & R Phalen Leadership Academy ,46366,4352 Mitthoeffer Road,Indianapolis,261,21,
6900,Rural,Jac-Cen-Del Community Sch Corp,46367,723 N Buckeye St,Osgood,824,54,Distant
3945,Rural,Jay School Corporation,46368,1976 W Tyson Rd,Portland,3167,175,Fringe
4015,Rural,Jennings County School Corporation,46369,34 Main St,North Vernon,4187,239,Fringe
7150,Rural,John Glenn School Corporation,46370,101 John Glenn Dr,Walkerton,2000,112,Fringe
9495,City,Joshua Academy,46371,1230 E Illinois St,Evansville,200,16,Midsize
3785,Rural,Kankakee Valley School Corp,46372,PO Box 278,Wheatfield,3357,191,Distant
9115,City,Kindezi Academy,46373,3725 Kiel Avenue,Indianapolis,276,11,Large
9400,City,KIPP Indy College Prep Middle,46374,1740 E 30th St,Indianapolis,296,20,Large
9410,City,KIPP Indy Unite Elementary,46375,1740 E 30th Street,Indianapolis,509,35,Large
7525,Town,Knox Community School Corp,46376,2 Redskin Trl,Knox,1845,107,Distant
3500,City,Kokomo School Corporation,46377,1500 S Washington PO Box 2188,Kokomo,6180,378,Small
7855,City,Lafayette School Corporation,46378,2300 Cason St,Lafayette,7996,471,Small
4615,Suburb,Lake Central School Corporation,46379,8260 Wicker Ave,Saint John,9645,460,Large
4650,Suburb,Lake Ridge New Tech Schools,46380,6111 W Ridge Rd,Gary,1798,115,Large
4680,Suburb,Lake Station Community Schools,46381,2500 Pike St,Lake Station,1202,61,Large
4535,Town,Lakeland School Corporation,46382,0825 E 075 N,LaGrange,1868,118,Distant
3160,Rural,Lanesville Community School Corp,46383,2725 Crestview Ave NE,Lanesville,766,39,Fringe
4945,City,LaPorte Community School Corp,46384,1921 'A' St,LaPorte,6417,367,Small
1620,Town,Lawrenceburg Community School Corp,46385,300 Tiger Blvd,Lawrenceburg,2077,116,Fringe
0665,Town,Lebanon Community School Corp,46386,1810 N Grant St,Lebanon,3437,183,Fringe
0815,Rural,Lewis Cass Schools ,46387,100 S Main Street,Walton,1381,76,Distant
1895,Rural,Liberty-Perry Community Sch Corp,46388,Box 337,Selma,1193,69,Fringe
2950,Town,Linton-Stockton School Corporation,46389,801 NE 1st St,Linton,1366,84,Distant
0875,Town,Logansport Community Sch Corp,46390,2829 George St,Logansport,4293,251,Distant
5525,Rural,Loogootee Community Sch Corp,46391,P O Box 282,Loogootee,837,51,Fringe
8445,Town,M S D Bluffton-Harrison,46392,805 E Harrison St,Bluffton,1632,106,Distant
6460,Rural,M S D Boone Township,46393,307 S Main St,Hebron,1144,70,Fringe
5300,City,M S D Decatur Township,46394,5275 Kentucky Ave,Indianapolis,6810,361,Large
5330,Suburb,M S D Lawrence Township,46395,6501 Sunnyside Rd,Indianapolis,16035,793,Large
5925,Town,M S D Martinsville Schools,46396,PO Box 1416,Martinsville,4381,262,Fringe
6590,Town,M S D Mount Vernon,46397,1000 W 4th St,Mount Vernon,1993,134,Fringe
6600,Rural,M S D North Posey Co Schools,46398,101 N Church St,Poseyville,1451,96,Distant
4860,Town,M S D of New Durham Township,46399,207 E Valparaiso St,Westville,891,55,Fringe
5350,City,M S D Pike Township,46400,6901 Zionsville Rd,Indianapolis,11151,607,Large
2960,Rural,M S D Shakamak Schools,46401,9233 Shakamak School Rd,Jasonville,741,49,Distant
0125,Suburb,M S D Southwest Allen County Schls,46402,4824 Homestead Rd,Fort Wayne,7471,417,Large
7615,Rural,M S D Steuben County,46403,400 S Martha St,Angola,2773,164,Fringe
8050,Rural,M S D Wabash County Schools,46404,204 N 300 W,Wabash,2116,125,Distant
8115,Rural,M S D Warren County,46405,101 N Monroe St,Williamsport,1321,74,Distant
5360,City,M S D Warren Township,46406,975 N Post Rd,Indianapolis,12188,582,Large
5370,City,M S D Washington Township,46407,8550 Woodfield Crossing Blvd,Indianapolis,11140,636,Large
5375,City,M S D Wayne Township,46408,1220 S High Sch Rd,Indianapolis,16484,982,Large
5615,Rural,Maconaquah School Corp,46409,7932 S Strawtown Pike,Bunker Hill,2175,116,Fringe
3995,Town,Madison Consolidated Schools,46410,2421 Wilson Ave,Madison,2766,154,Distant
2825,Rural,Madison-Grant United School Corp,46411,11580 S/E 00 W,Fairmount,1135,70,Fringe
8045,Rural,Manchester Community Schools,46412,404 W Ninth St,N Manchester,1629,88,Fringe
9915,City,Marion Academy,46413,2107 North Riley,Indianapolis,172,8,Large
2865,Town,Marion Community Schools,46414,750 W 26th St,Marion,3863,222,Distant
9090,,Matchbook Learning  ,46415,1163 Belmont Avenue ,Indianapolis,567,31,
9955,Rural,Mays Community Academy,46416,PO Box 188,Lewisville,213,12,Distant
3640,Rural,Medora Community School Corp,46417,PO Box 369,Medora,162,15,Distant
4600,Suburb,Merrillville Community School Corp,46418,6701 Delaware St,Merrillville,6410,401,Large
4925,Rural,Michigan City Area Schools,46419,408 S Carroll Ave,Michigan City,5574,362,Fringe
2275,Rural,Middlebury Community Schools,46420,56853 Northridge Dr,Middlebury,4573,251,Fringe
6910,Rural,Milan Community Schools,46421,412 E Carr St,Milan,1083,66,Distant
3335,Rural,Mill Creek Community Sch Corp,46422,6631 S CR 200 W,Clayton,1473,95,Distant
2855,Town,Mississinewa Community School Corp,46423,424 E S 'A' St,Gas City,2466,136,Distant
5085,Town,Mitchell Community Schools,46424,441 N 8th St,Mitchell,1575,96,Distant
6820,Rural,Monroe Central School Corp,46425,1918 N CR 1000 W,Parker City,1115,67,Fringe
5740,City,Monroe County Community Sch Corp,46426,315 E North Dr,Bloomington,11181,705,Small
5900,Rural,Monroe-Gregg School District,46427,135 S Chestnut St,Monrovia,1522,94,Fringe
5930,Suburb,Mooresville Con School Corp,46428,11 W Carlisle St,Mooresville,4436,224,Large
3135,Rural,Mt Vernon Community School Corp,46429,1806 W SR 234,Fortville,4226,237,Fringe
1970,City,Muncie Community Schools,46430,2500 North Elgin Street,Muncie,5264,306,Small
9730,Suburb,Neighbors' New Vistas High School,46431,5201 US Hwy 6,Portage,231,13,Large
8305,Rural,Nettle Creek School Corporation,46432,297 E Northmarket St,Hagerstown,1126,68,Distant
2400,Suburb,New Albany-Floyd Co Con Sch,46433,2813 Grant Line PO Box 1087,New Albany,11637,595,Large
3445,Town,New Castle Community School Corp,46434,322 Elliott Ave,New Castle,3108,215,Distant
4805,Rural,New Prairie United School Corp,46435,5327 N Cougar Rd,New Carlisle,2972,157,Fringe
4255,Rural,Nineveh-Hensley-Jackson United,46436,802 S Indian Creek Dr,Trafalgar,1899,104,Distant
3070,Suburb,Noblesville Schools,46437,18025 River Ave,Noblesville,10611,575,Large
0025,Town,North Adams Community Schools,46438,625 Stadium Dr,Decatur,1780,114,Distant
6375,Town,North Central Parke Comm Schl Corp,46439,1497 East SR 47,Marshall,1146,90,Distant
1375,Rural,North Daviess Com Schools,46440,5494 E SR 58,Elnora,1189,71,Remote
2735,Rural,North Gibson School Corporation,46441,1104 N Embree St,Princeton,2022,125,Fringe
3180,Rural,North Harrison Com School Corp,46442,1260 Hwy 64 NW,Ramsey,2206,115,Fringe
7515,Rural,North Judson-San Pierre Sch Corp,46443,801 Campbell Dr,North Judson,1005,63,Distant
4315,Rural,North Knox School Corp,46444,11110 N SR 159,Bicknell,1337,75,Distant
5075,Rural,North Lawrence Com Schools,46445,PO Box 729,Bedford,4727,312,Fringe
5620,Rural,North Miami Community Schools,46446,394 E 900 N,Denver,911,48,Distant
